baseMean.st10	log2FoldChange.st10	lfcSE.st10	stat.st10	pvalue.st10	padj.st10	baseMean.st15	log2FoldChange.st15	lfcSE.st15	stat.st15	pvalue.st15	padj.st15
has-rs	1322.95471640358	1.70571496695887	0.410253228282719	4.15771247943333	3.21450243990895e-05	0.00509159835383559	1322.95471640358	-1.88440854340646	0.38277780281844	-4.92298281021346	8.52349423117804e-07	2.03407472849226e-05
hdac3	457.022414792808	0.746651458373968	0.204186556217286	3.65671213720562	0.00025547099835846	0.0204047158688886	457.022414792808	0.550824067487056	0.189100062975718	2.91287088337875	0.0035812264370315	0.0209585420081227
hmg20a	645.880266315889	1.77821780169908	0.227087981202192	7.83052362474356	4.85842229752274e-15	1.00245446738886e-11	645.880266315889	0.722106242302789	0.215129146588458	3.35661742610906	0.000789022075427974	0.00648406330227031
ifrd1	923.700315518751	-2.14906648144633	0.444568837413086	-4.83404661008537	1.33785240418548e-06	0.000414065319095407	923.700315518751	-1.45024502114049	0.41548484909538	-3.49048833982288	0.000482138651804767	0.00433288208611
ikbip	386.315413391716	0.562092083680092	0.161537942499097	3.47962884127507	0.000502108871349246	0.0344829848725373	386.315413391716	0.711209975321204	0.154657127172552	4.59862399052391	4.25290572314711e-06	8.3328209131249e-05
jph1	341.902946475123	-1.30686894909919	0.197385670644605	-6.62089068994388	3.57040929496149e-11	4.01833337014757e-08	341.902946475123	1.11902652961933	0.208148642873212	5.37609332529232	7.61193478836874e-08	2.35503634608523e-06
kcnk5	552.914156326861	1.11452890678875	0.235357303776871	4.73547618409741	2.18541368462563e-06	0.00058816133512316	552.914156326861	0.642904388294862	0.221550729685019	2.90183827969732	0.00370980000469283	0.0215819097262974
kiaa1324	831.89336480371	0.909203036801268	0.280340624053792	3.2432082930186	0.00118191770159313	0.0612223478900542	831.89336480371	0.772329387260859	0.225975715267815	3.41775392256435	0.000631401658038654	0.00539552017281393
klf10	546.355559415169	-0.874337607353314	0.274308883735778	-3.18741994588663	0.00143548188944257	0.0719484444991864	546.355559415169	-1.19846917469182	0.2462133287099	-4.86760477579145	1.12958946957747e-06	2.61593537666203e-05
lmnb3	1502.21928936845	-0.786532687191287	0.23124586729877	-3.40128321590754	0.00067070301440531	0.0428005325687512	1502.21928936845	0.509451947416321	0.217890750732131	2.3381072657032	0.0193816844058797	0.0767569616428149
lonrf3	2131.39261609568	-4.07259201478826	0.504483844040388	-8.07278976898656	6.87098562134345e-16	1.70125603984464e-12	2131.39261609568	-2.74632332445853	0.46975483181631	-5.84629074242803	5.02655188054279e-09	2.08176374840998e-07
lpin2	536.435376402897	0.975794558644931	0.273722898590992	3.56489926004694	0.0003639959690444	0.0271462054022269	536.435376402897	0.767897075893834	0.215420674737401	3.56463963744384	0.000364356436759875	0.00344059206055843
mat2a	4265.7459182409	0.594928121327682	0.162242240844655	3.66691262540757	0.000245496632903607	0.0197353786710821	4265.7459182409	0.48215294406965	0.151941133859841	3.17328778469177	0.00150723043290653	0.0107058495585988
