Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
nexn	nexn	852.628123293438	-1.30726299315241	0.374228956972666	-3.49321710358157	0.000477238342360558	0.0356798339236439
Xetro.G01392	Xetro.G01392	184.751157845223	-1.31528854149841	0.336692337950968	-3.90649977217467	9.36427316015547e-05	0.0112878523899152
nkiras1	nkiras1	35.4838910022685	-1.35852938740525	0.350511789915167	-3.87584505426779	0.000106255286483818	0.0120940311974787
Xetro.K00726	Xetro.K00726	319.24095646766	-1.36261810385439	0.407572125073452	-3.34325637114858	0.00082801364568251	0.0522590413249004
zfyve21	zfyve21	367.348041498845	-1.37145342554425	0.208146122120291	-6.58889731681701	4.43105093736957e-11	4.91735877774589e-08
eif2b3	eif2b3	369.594465326632	-1.37518662166174	0.221629928170748	-6.2048778024341	5.47394193186463e-10	5.20689176476009e-07
slco4c1	slco4c1	439.701870381404	-1.38062835347565	0.392212345631529	-3.52010427222173	0.000431377174388553	0.0333991269263509
tnfrsf21	tnfrsf21	175.133916273008	-1.41810921473868	0.371633782537667	-3.81587810735411	0.000135699484638675	0.014229212889238
egflam	egflam	1120.06878011623	-1.42898250643624	0.44828297312869	-3.18767964007862	0.00143419339223251	0.0764652492851967
arv1	arv1	75.554154064533	-1.43020187739167	0.241351898687853	-5.92579501204335	3.10790083202247e-09	2.75919435866955e-06
emb	emb	311.005431477423	-1.45838319556136	0.415732334872495	-3.50798596411474	0.000451512871078822	0.0343588394523239
pitpnb.2	pitpnb.2	369.128896853448	-1.46223401665627	0.259353760729581	-5.63799041333698	1.72046084257553e-08	1.20169971459144e-05
cpne3	cpne3	1044.54240387498	-1.46766977000798	0.383828033879366	-3.82376908527026	0.000131427010405452	0.0140017079805553
bcs1l	bcs1l	239.965472392024	-1.49835253629321	0.442253342500445	-3.38799595684617	0.000704053021634184	0.0468793704455122
pvrl4	pvrl4	201.798838208354	-1.51339376808827	0.399178050480958	-3.79127501190214	0.000149875883038752	0.0153530548802082
c19orf53	c19orf53	328.560678072308	-1.52487944337102	0.384241644012609	-3.96854288735289	7.23134442340876e-05	0.00962998136865344
c21orf2	c21orf2	47.5455652814698	-1.53203350640927	0.423846393476141	-3.61459606591064	0.000300816260944073	0.0248818021552312
cygb	cygb	1925.54928276904	-1.57524002020488	0.381829455367331	-4.12550681478842	3.69919227925076e-05	0.00586454090271219
dlc	dlc	2211.86072054896	-1.58938045552412	0.409625756834336	-3.8800793871146	0.000104422376784127	0.0120457405941443
Xetro.A00691	Xetro.A00691	42.1555950245527	-1.60874840198721	0.43536122637061	-3.6952036712101	0.000219710593935864	0.019505906529626
Xetro.A01936	Xetro.A01936	1017.13424820109	-1.64015738313139	0.505453235043512	-3.24492409864624	0.00117481933232459	0.0652857879890207
Xetro.D01070	Xetro.D01070	1458.65052333994	-1.64066837709237	0.468622345914072	-3.50104597315384	0.000463435890672028	0.0348676596388666
Xetro.C00142	Xetro.C00142	927.379136284735	-1.64110573577433	0.326120354505748	-5.03220885510661	4.84860617630745e-07	0.000192024787913746
st3gal1	st3gal1	778.295287900158	-1.69190367041317	0.518997645463482	-3.2599447901199	0.00111433902924893	0.0640612011283563
has-rs	has-rs	1322.95471640358	-1.70571496695911	0.41025322828062	-4.15771247945517	3.21450243960162e-05	0.00541097655831521
psmb7	psmb7	925.536534725028	-1.71683297941231	0.299805239903106	-5.72649423995114	1.02527241657881e-08	8.53347048223749e-06
Xetro.J00595	Xetro.J00595	71.7718825956465	-1.74616038846389	0.569817368915387	-3.06442113512194	0.00218091666953302	0.0994632441375726
hmg20a	hmg20a	645.880266315889	-1.7782178016991	0.227087981201941	-7.83052362475229	4.85842229718537e-15	1.07832682886029e-11
Xetro.K00276	Xetro.K00276	1018.64156593198	-1.78106155986577	0.375246178726768	-4.746381604495	2.07087848629428e-06	0.000612841973377355
nr2e1	nr2e1	59.3746731600235	-1.79254286222612	0.515423241133572	-3.47780759417012	0.000505532656575724	0.0368901910971469
figla	figla	43.1577247480973	-1.80832787244046	0.36254311023481	-4.98789749795342	6.10399377930493e-07	0.000219694284213524
Xetro.D00228	Xetro.D00228	533.299345906548	-1.83570988428664	0.410905016854041	-4.46747985298683	7.91464625461721e-06	0.00159695976019299
slc27a2	slc27a2	95.4001182718762	-1.8549035719053	0.347600238023979	-5.33631272075637	9.48557484119383e-08	5.05277600640713e-05
rbm20	rbm20	1327.42048243578	-1.88133993961115	0.35302980068631	-5.32912500857922	9.86870552247548e-08	5.05467505549254e-05
cdk5r1	cdk5r1	308.756132814591	-1.89432307560357	0.5310491108473	-3.56713350405791	0.000360907631713508	0.0289530538043903
Xetro.D01520	Xetro.D01520	59.144077244794	-1.95625844435879	0.569055591508828	-3.43772818253459	0.000586616235635527	0.040777659096174
dlx3	dlx3	694.012582202744	-1.97696548936465	0.451134402914677	-4.3822095512821	1.17481729159137e-05	0.00226739737277134
myt1	myt1	1498.13788263024	-1.97871911361823	0.50306615094238	-3.93331793425487	8.37813033420295e-05	0.0105256190245831
degs3	degs3	982.731053540488	-1.98202684157843	0.41490876835547	-4.77701845018696	1.7791345525185e-06	0.000577871581363143
c5	c5	1467.93376778662	-2.03560837602228	0.547249717170443	-3.71970658394746	0.000199454352372131	0.0181926959626005
sh3d21	sh3d21	342.34256325962	-2.25794715792869	0.482013810442366	-4.68440345279001	2.80776474013235e-06	0.00077897923009047
Xetro.A00232	Xetro.A00232	60.8985963880274	-2.32887216203594	0.44959698134233	-5.17991058365826	2.21992284153817e-07	0.000109491527706533
Xetro.K00728	Xetro.K00728	628.552669677495	-2.44446065317809	0.711192866200218	-3.43712763351863	0.000587918491136547	0.040777659096174
ppl	ppl	1917.19368764138	-2.73186351331048	0.511357987597342	-5.34236988483619	9.1739218420118e-08	5.05277600640713e-05
foxi1	foxi1	647.112949937595	-2.74092389906041	0.561415919439004	-4.88216276766659	1.04928587064521e-06	0.00035829076767647
ninj1	ninj1	52.7112048417823	-2.95411192801761	0.878807291728426	-3.3615013846864	0.000775199679403051	0.0496314140894732
alpl	alpl	503.150350035165	-2.99882853339686	0.321640445302397	-9.32354303445093	1.12518806287598e-20	4.99470981110648e-17
camk4	camk4	42.2335176010152	-3.69329270282167	1.00084533876965	-3.69017325630139	0.000224101368596076	0.0196339337210128
rpn2	rpn2	1789.19444400656	-3.69537014781104	0.164089621741421	-22.5204379691626	2.61768555443868e-112	3.48597185284599e-108
